"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26"
"Soft chinon set in orange, with apple cut silhouette and embroidery neckline with bead work, flower embroidered detail & beaded tassel hem.

Available Size | 38-44

Wash Care: Dry Clean only 
DM to order
#kathmandunepal & #nepalitiktok #onceuponithread #nepaliethnicwear","Once Upon अ Thread","onceuponathreadnepal","https://www.instagram.com/p/DTrmIYrD3ii/","1","","2","2026-01-19T05:51:43.000Z",,"kathmandunepal","nepalitiktok","onceuponithread","nepaliethnicwear",,,,,,,,,,,,,,,,,,,,,,,
"Soft chinon set in pink, with apple cut silhouette and embroidery neckline with bead work, flower embroidered detail & beaded tassel hem.

Available Size | 38(sold), 40, 42(sold), 44

Wash Care: Dry Clean only 
DM to order
#kathmandunepal & #nepalitiktok #onceuponithread #nepaliethnicwear","Once Upon अ Thread","onceuponathreadnepal","https://www.instagram.com/p/DTrlyU0j9_b/","0","","2","2026-01-19T05:48:42.000Z",,"kathmandunepal","nepalitiktok","onceuponithread","nepaliethnicwear",,,,,,,,,,,,,,,,,,,,,,,
"Natural Crepe based set in bold pink, with mirror detailing and embroidery work on hemline over a digital print. 
Available Size | L-XXL

Wash Care: Dry Clean only 
DM to order
#kathmandunepal & #nepalitiktok #onceuponithread #nepaliethnicwear","Once Upon अ Thread","onceuponathreadnepal","https://www.instagram.com/p/DTkeTTbD2hW/","0","","3","2026-01-16T11:28:37.000Z",,"kathmandunepal","nepalitiktok","onceuponithread","nepaliethnicwear",,,,,,,,,,,,,,,,,,,,,,,
"Natural Crepe based Anarkali in vibrant yellow, with gota and mirror work on neckline, turquoise ombre print and dangle at hem

Available Size | XXL 
Wash Care: Dry Clean only
DM to order
#kathmandunepal & #nepalitiktok #onceuponithread #nepaliethnicwear","Once Upon अ Thread","onceuponathreadnepal","https://www.instagram.com/p/DThX4bpj0R7/","0","","5","2026-01-15T06:34:48.000Z",,"kathmandunepal","nepalitiktok","onceuponithread","nepaliethnicwear",,,,,,,,,,,,,,,,,,,,,,,
"𝐆𝐫𝐚𝐜𝐞 𝐫𝐨𝐨𝐭𝐞𝐝 𝐢𝐧 𝐡𝐞𝐫𝐢𝐭𝐚𝐠𝐞, 𝐬𝐭𝐲𝐥𝐞𝐝 𝐟𝐨𝐫 𝐭𝐨𝐝𝐚𝐲.
Step into the beauty of tradition with our 𝐒𝐮𝐛𝐛𝐚 𝐒𝐞𝐭 𝐂𝐨𝐭𝐭𝐨𝐧 𝐈𝐤𝐚𝐭 𝐆𝐨𝐰𝐧 𝐃𝐫𝐞𝐬𝐬—a vibrant blend of cultural elegance and modern comfort. Perfectly crafted for Subba & Limbu women who love wearing their identity with pride. ❤️

Explore the details, feel the craftsmanship, and bring home a piece that honors your story.

👉 𝐒𝐡𝐨𝐩 𝐭𝐡𝐢𝐬 𝐥𝐨𝐨𝐤 𝐧𝐨𝐰 𝐚𝐭 𝐁𝐡𝐮𝐭𝐢𝐛
🔗 𝐕𝐢𝐬𝐢𝐭: 𝐛𝐡𝐮𝐭𝐢𝐛.𝐜𝐨𝐦
Your perfect traditional-meets-modern outfit is just a tap away. 🌸
𝐄𝐱𝐩𝐥𝐨𝐫𝐞 • 𝐒𝐡𝐨𝐩 • 𝐖𝐞𝐚𝐫 𝐰𝐢𝐭𝐡 𝐩𝐫𝐢𝐝𝐞

#Bhutib #SubbaDress #LimbuDress #IkatFashion #CottonIkat #EthnicWearNepal #TraditionalFashion #NepaliFashion #NepaliEthnicWear #HimaliFashion #CulturalWear #HeritageStyle #ShopNepalOnline #EthnicElegance #WomenOfNepal #NepaliWomenStyle #EthnicGown #CulturalIdentity #FashionWithMeaning #ShopBhutib #BhutibCollection","BHUTIB","bhutibofficial","https://www.instagram.com/p/DSVDyzykslL/","0","","1","2025-12-16T15:16:59.000Z",,"Bhutib","SubbaDress","LimbuDress","IkatFashion","CottonIkat","EthnicWearNepal","TraditionalFashion","NepaliFashion","NepaliEthnicWear","HimaliFashion","CulturalWear","HeritageStyle","ShopNepalOnline","EthnicElegance","WomenOfNepal","NepaliWomenStyle","EthnicGown","CulturalIdentity","FashionWithMeaning","ShopBhutib","BhutibCollection",,,,,,
"𝐑𝐨𝐨𝐭𝐞𝐝 𝐢𝐧 𝐭𝐫𝐚𝐝𝐢𝐭𝐢𝐨𝐧. 𝐒𝐭𝐲𝐥𝐞𝐝 𝐟𝐨𝐫 𝐭𝐨𝐝𝐚𝐲🤍
Our 𝐒𝐮𝐛𝐛𝐚/𝐋𝐢𝐦𝐛𝐮 𝐂𝐨𝐭𝐭𝐨𝐧 𝐁𝐥𝐨𝐮𝐬𝐞 is a beautiful expression of Nepali heritage, traditionally 𝐰𝐨𝐫𝐧 𝐛𝐲 𝐒𝐮𝐛𝐛𝐚 𝐚𝐧𝐝 𝐋𝐢𝐦𝐛𝐮 𝐰𝐨𝐦𝐞𝐧, now thoughtfully crafted for everyday comfort and timeless style.

Made with soft cotton fabric, detailed handloom prints, and 3/4 sleeves, this blouse is perfect for cultural gatherings, festivals, or graceful daily wear. Every piece reflects authenticity, craftsmanship, and cultural pride.

✨ If you love ethnic wear that tells a story, this one is for you.
🛍️ 𝐄𝐱𝐩𝐥𝐨𝐫𝐞 𝐚𝐧𝐝 𝐬𝐡𝐨𝐩 𝐨𝐮𝐫 𝐥𝐚𝐭𝐞𝐬𝐭 𝐜𝐨𝐥𝐥𝐞𝐜𝐭𝐢𝐨𝐧 𝐚𝐭 👉 𝐛𝐡𝐮𝐭𝐢𝐛.𝐜𝐨𝐦
Tap the link in bio.

#Bhutib #BhutibStore #ShopBhutib #NepaliEthnicWear #LimbuDress #SubbaDress #NepaliFashion #TraditionalNepaliWear #EthnicWearNepal #HandloomBlouse #CottonBlouse #CulturalWear #IndigenousFashion #NepaliWomen #LimbuCulture #SubbaCulture #NepaliHandloom #EthnicBlouse #SustainableFashion #WearYourCulture #HeritageFashion #NepaliClothing #OnlineEthnicStore","BHUTIB","bhutibofficial","https://www.instagram.com/p/DSP6mAEErrB/","0","","1","2025-12-14T15:20:24.000Z",,"Bhutib","BhutibStore","ShopBhutib","NepaliEthnicWear","LimbuDress","SubbaDress","NepaliFashion","TraditionalNepaliWear","EthnicWearNepal","HandloomBlouse","CottonBlouse","CulturalWear","IndigenousFashion","NepaliWomen","LimbuCulture","SubbaCulture","NepaliHandloom","EthnicBlouse","SustainableFashion","WearYourCulture","HeritageFashion","NepaliClothing","OnlineEthnicStore",,,,
"Elegance that speaks of tradition and luxury ✨
Our 𝐄𝐦𝐛𝐫𝐨𝐢𝐝𝐞𝐫𝐞𝐝 𝐕𝐞𝐥𝐯𝐞𝐭 𝐌𝐚𝐧𝐝𝐚𝐫𝐢𝐧-𝐂𝐨𝐥𝐥𝐚𝐫 𝐁𝐥𝐨𝐮𝐬𝐞 𝐰𝐢𝐭𝐡 𝐆𝐨𝐥𝐝 𝐏𝐢𝐩𝐢𝐧𝐠 is crafted for the modern Nepali woman who loves timeless style with a premium touch.

🖤 Perfect for festivals, weddings, or elevating your everyday ethnic look.
✨ Premium velvet | Delicate gold piping | Flattering mandarin collar

👉𝐄𝐱𝐩𝐥𝐨𝐫𝐞 & 𝐬𝐡𝐨𝐩 𝐭𝐡𝐢𝐬 𝐥𝐚𝐭𝐞𝐬𝐭 𝐚𝐫𝐫𝐢𝐯𝐚𝐥 𝐚𝐭 𝐁𝐡𝐮𝐭𝐢𝐛:
🌐 𝐡𝐭𝐭𝐩𝐬://𝐛𝐡𝐮𝐭𝐢𝐛.𝐜𝐨𝐦/

Tap the link in bio, fall in love with the details, and bring home a piece of elegance today 💛

#NepaliFashion #NepalStyle #EthnicWearNepal #VelvetBlouse #NepaliWomenStyle #FestivalWearNepal #BoutiqueNepal #shopindiaonline #Bhutib #TraditionalFashion #NepaliClothingBrand #MandarinCollarBlouse #EthnicOutfitIdeas #WeddingWearNepal #WomenFashionNepal #DesignerBlouseNepal #HandcraftedFashion #NepaliEthnicWear","BHUTIB","bhutibofficial","https://www.instagram.com/p/DSISUGuEhRM/","0","","1","2025-12-11T16:13:45.000Z",,"NepaliFashion","NepalStyle","EthnicWearNepal","VelvetBlouse","NepaliWomenStyle","FestivalWearNepal","BoutiqueNepal","shopindiaonline","Bhutib","TraditionalFashion","NepaliClothingBrand","MandarinCollarBlouse","EthnicOutfitIdeas","WeddingWearNepal","WomenFashionNepal","DesignerBlouseNepal","HandcraftedFashion","NepaliEthnicWear",,,,,,,,,
"✨ 𝐆𝐫𝐚𝐜𝐞 𝐫𝐨𝐨𝐭𝐞𝐝 𝐢𝐧 𝐡𝐞𝐫𝐢𝐭𝐚𝐠𝐞, 𝐬𝐭𝐲𝐥𝐞𝐝 𝐟𝐨𝐫 𝐭𝐨𝐝𝐚𝐲.
Step into the beauty of tradition with our 𝐒𝐮𝐛𝐛𝐚 𝐒𝐞𝐭 𝐂𝐨𝐭𝐭𝐨𝐧 𝐈𝐤𝐚𝐭 𝐆𝐨𝐰𝐧 𝐃𝐫𝐞𝐬𝐬—a vibrant blend of cultural elegance and modern comfort. Perfectly crafted for Subba & Limbu women who love wearing their identity with pride. ❤️

Explore the details, feel the craftsmanship, and bring home a piece that honors your story.

👉 𝐒𝐡𝐨𝐩 𝐭𝐡𝐢𝐬 𝐥𝐨𝐨𝐤 𝐧𝐨𝐰 𝐚𝐭 𝐁𝐡𝐮𝐭𝐢𝐛
🔗 𝐕𝐢𝐬𝐢𝐭: 𝐛𝐡𝐮𝐭𝐢𝐛.𝐜𝐨𝐦
Your perfect traditional-meets-modern outfit is just a tap away. 🌸
𝐄𝐱𝐩𝐥𝐨𝐫𝐞 • 𝐒𝐡𝐨𝐩 • 𝐖𝐞𝐚𝐫 𝐰𝐢𝐭𝐡 𝐩𝐫𝐢𝐝𝐞

#Bhutib #SubbaDress #LimbuDress #IkatFashion #CottonIkat #EthnicWearNepal #TraditionalFashion #NepaliFashion #NepaliEthnicWear #HimaliFashion #CulturalWear #HeritageStyle #ShopNepalOnline #EthnicElegance #WomenOfNepal #NepaliWomenStyle #EthnicGown #CulturalIdentity #FashionWithMeaning #ShopBhutib #BhutibCollection","BHUTIB","bhutibofficial","https://www.instagram.com/p/DRUkBgfkgGc/","0","","0","2025-11-21T14:07:59.000Z",,"Bhutib","SubbaDress","LimbuDress","IkatFashion","CottonIkat","EthnicWearNepal","TraditionalFashion","NepaliFashion","NepaliEthnicWear","HimaliFashion","CulturalWear","HeritageStyle","ShopNepalOnline","EthnicElegance","WomenOfNepal","NepaliWomenStyle","EthnicGown","CulturalIdentity","FashionWithMeaning","ShopBhutib","BhutibCollection",,,,,,
".
Happy birthday my princess 👸 
🎈🎈🎂🎂🎁🎁👑👑

#happybirthday #birthdaycake #23thbirthday #myprincess","許櫻桃🍒","cherry_31837","https://www.instagram.com/p/DXlQp1RE10_/","4","","143","2026-04-26T04:54:11.000Z",,"happybirthday","birthdaycake","23thbirthday","myprincess",,,,,,,,,,,,,,,,,,,,,,,
"#23thbirthday ❤️","Lian Na","linul.ik","https://www.instagram.com/p/DXi9TjEilfq/","0","","43","2026-04-25T07:26:38.000Z",,"23thbirthday",,,,,,,,,,,,,,,,,,,,,,,,,,
"✨️ 𝑆𝑢𝑛 𝑎𝑛𝑑 𝑀𝑜𝑜𝑛 𝑐𝑎𝑘𝑒 ✨️ 
.
.
.
.
.
.
.
.
#tortazarođendan 
#dekoracijatorti 
#23thbirthday 
#21thbirthday 
#cakedecorating","Klaudia Kramarić","cakes_byklo","https://www.instagram.com/p/DXb68i6DFd4/","0","","15","2026-04-22T13:51:32.000Z",,"tortazarođendan","dekoracijatorti","23thbirthday","21thbirthday","cakedecorating",,,,,,,,,,,,,,,,,,,,,,
"Birthday eve🏵🧡
.
.
.
.
#happybirthdaytome #sassy #23thbirthday #fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp","Priti pratyashaaaaaa🥀","pretyyyy_iii","https://www.instagram.com/p/DXZx8IfDDXC/","8","","-1","2026-04-21T17:54:09.000Z",,"happybirthdaytome","sassy","23thbirthday","fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp",,,,,,,,,,,,,,,,,,,,,,,
