fashion_category,total_posts,avg_sentiment,positive_ratio,avg_likes,avg_views,avg_trend_score,trend_rank
Traditional/Ethnic,721,0.5274608876560333,0.7184466019417476,5586.137309292649,129410.69625520111,0.43182524271844663,0.5735155674589889
General Fashion,1015,0.3364647290640394,0.5507389162561577,37545.724137931036,338251.3596059113,0.4163254187192118,0.5733843842364532
Western/Casual,200,0.4096955,0.665,72120.82,478206.43,0.419401,0.4486093669950739
Accessories,81,0.5532938271604938,0.7530864197530864,8765.839506172839,101582.33333333333,0.40628395061728395,0.4450284923675728
Formal/Professional,120,0.4078541666666667,0.625,4032.3416666666667,101987.825,0.40168,0.41198532019704437
Indo-Western/Fusion,35,0.41434,0.6,1123.4857142857143,23641.885714285716,0.3351942857142857,0.35449369458128077
